"VITRO1" "VITRO2" "VIVO1" "VIVO2"
"1" 0.029 0 0.094 0.089
"2" 0 0 0 0
"3" 0 0 0 0.01
"4" 0.119 0.11 0.011 0.09
"5" 1.339 1.585 1.615 1.648
"6" 2.433 2.599 2.37 2.322
"7" 0.543 0.479 1.05 0.725
"8" 0.443 0.336 0.726 0.578
"9" 0.035 0.046 0.046 0.07
"10" 0 0 0.036 0
"11" 0.046 0.037 0.032 0
"12" 0.037 0.011 0.185 0.019
"13" 0 0 0 0
"14" 0.019 0.028 0.023 0.094
"15" 0 0 0 0.046
"16" 0.001 0 0.139 0
"17" 0 0 0.126 0
"18" 0 0.013 0 0.099
"19" 0.015 0.045 0 0.025
"20" 0.009 0.034 0.029 0.048
"21" 0.124 0.054 0.247 0
"22" 0 0.002 0 0
"23" 0 0 0 0.024
"24" 0 0 0 0.069
"25" 0 0 0.128 0
"26" 0 0 0.002 0
"27" 0 0 0 0
"28" 0 0 0.105 0.288
"29" 0.048 0.04 0.049 0
"30" 0.322 0.266 0.453 0.483
"31" 0.697 0.755 1.016 0.718
"32" 0.594 0.483 0.672 0.922
"33" 0.475 0.467 0.709 0.799
"34" 0.947 0.848 1.512 1.779
"35" 2.515 2.7 3.603 4.043
"36" 0.666 0.74 0.575 1.074
"37" 3.234 3.116 4.131 4.663
"38" 1.621 1.639 1.791 1.817
"39" 1.832 1.976 1.085 1.813
"40" 1.032 1.073 1.528 1.629
"41" 1.153 1.257 3.071 3.327
"42" 0.718 0.752 1.851 1.66
"43" 0.739 0.702 1.679 1.236
"44" 2.977 2.919 3.566 3.542
"45" 1.775 1.817 3.122 3.367
"46" 3.258 3.524 4.236 4.2
"47" 2.136 1.961 4.478 3.6
"48" 0.373 0.537 2.592 2.35
"49" 0.444 0.484 3.262 2.582
"50" 0.826 0.885 3.369 2.582
"51" 1.192 1.167 2.899 1.787
"52" 0.018 0.029 1.696 0.835
"53" 0 0 1.529 0.74
"54" 0 0.003 2.194 1.012
"55" 0.02 0.012 0.771 0.397
"56" 0 0 1.446 0.907
"57" 0.03 0 1.699 1.018
"58" 0.018 0 0.949 0.645
"59" 0.029 0.03 1.292 0.785
"60" 0 0 1.318 0.858
"61" 0 0 0.619 0.315
"62" 0.086 0.067 0.712 0.612
"63" 0.086 0.12 0.405 0.276
"64" 0.026 0.046 0.654 0.34
"65" 0.258 0.199 0.642 0.599
"66" 0.001 0.012 0.366 0.327
"67" 0.134 0.149 0.55 0.269
"68" 0 0.025 0.406 0.355
"69" 0.34 0.474 0.706 0.619
"70" 0.421 0.431 0.61 0.627
"71" 0.469 0.559 0.648 0.761
